S.NO.,first_name,last_name,email,gender,First Year Marks,Second Year Marks,Third Year Marks,Course,Language,Country,Parental Education
74,Ellette,Bullick,ebullick21@rediff.com,Female,76,96,92,Support,Burmese,Russia,false
75,Creigh,Felgate,cfelgate22@tumblr.com,Male,63,92,77,Training,Gagauz,Russia,false
76,Clay,Whitewood,cwhitewood23@netvibes.com,Bigender,91,76,83,Product Management,Maltese,Russia,true
77,Lyndel,Keer,lkeer24@pbs.org,Female,71,62,97,Marketing,Indonesian,Russia,true
78,Layney,Cran,lcran25@goodreads.com,Female,99,95,54,Product Management,Persian,Russia,false
79,Brandise,Aysik,baysik26@washington.edu,Female,89,61,72,Engineering,Kurdish,United States,true
80,Parnell,Kensitt,pkensitt27@networksolutions.com,Male,68,83,68,Support,Kashmiri,United States,true
81,Emelen,Shelton,eshelton28@prnewswire.com,Male,78,87,69,Human Resources,Pashto,United States,true
82,Thoma,Marsh,tmarsh29@go.com,Male,57,88,57,Human Resources,Punjabi,Russia,false
83,Druci,Worcs,dworcs2a@dmoz.org,Female,91,70,69,Accounting,Tetum,Russia,false
84,Rosalind,Gherardini,rgherardini2b@tmall.com,Female,83,79,62,Business Development,Tswana,Russia,false
85,Verla,Woodford,vwoodford2c@home.pl,Female,70,52,80,Human Resources,Dzongkha,Russia,false
86,Yard,Gley,ygley2d@zdnet.com,Male,68,95,70,Support,French,Russia,false
87,Kellby,Carren,kcarren2e@tiny.cc,Male,100,73,92,Legal,Albanian,Russia,false
88,Carce,Peperell,cpeperell2f@altervista.org,Male,70,54,53,Engineering,Assamese,Russia,false
89,Rudiger,Dumpleton,rdumpleton2g@vimeo.com,Male,79,87,61,Support,Icelandic,United States,true
90,Ronda,Lardier,rlardier2h@amazonaws.com,Female,96,61,71,Services,Swati,Kazakhstan,false
91,Nessie,Duffan,nduffan2i@indiatimes.com,Polygender,76,69,91,Human Resources,Dutch,Russia,true
92,Anthony,Wrathall,awrathall2j@timesonline.co.uk,Male,92,74,54,Product Management,Portuguese,Russia,false
93,Amitie,Kobiela,akobiela2k@census.gov,Female,68,64,66,Research and Development,Dzongkha,Russia,true
94,Hubie,Yakushkin,hyakushkin2l@cargocollective.com,Male,91,77,52,Research and Development,Hebrew,Russia,true
95,Maxine,Zorzi,mzorzi2m@a8.net,Female,99,78,53,Product Management,Kyrgyz,Russia,false
96,Desdemona,Pardew,dpardew2n@theatlantic.com,Female,79,56,76,Research and Development,Malay,United States,false
97,Blane,Haldin,bhaldin2o@hc360.com,Male,65,79,96,Marketing,Croatian,Russia,true
98,Aleece,Walne,awalne2p@amazon.co.uk,Female,75,86,74,Business Development,Hungarian,Russia,true
99,Mag,Wittey,mwittey2q@goo.gl,Female,96,90,99,Support,Filipino,United States,false
100,Constantin,Verrillo,cverrillo2r@alibaba.com,Male,62,85,66,Marketing,Luxembourgish,Russia,true
101,Roseanna,Roughley,rroughley2s@sun.com,Female,54,73,72,Support,Fijian,Russia,false
102,Candida,Lovewell,clovewell2t@opensource.org,Female,56,92,61,Training,Yiddish,United States,false
103,Susan,Jurczak,sjurczak2u@elegantthemes.com,Female,51,51,80,Product Management,Malay,Russia,false
104,Sisely,Hargitt,shargitt2v@admin.ch,Female,78,69,51,Sales,Punjabi,Russia,false
105,Tonie,Renfrew,trenfrew2w@boston.com,Female,62,73,93,Sales,Swedish,United States,false
106,Melanie,Dorsett,mdorsett2x@weather.com,Female,76,88,55,Support,Irish Gaelic,United States,true
107,Annis,Moss,amoss2y@cbslocal.com,Bigender,62,50,100,Training,Assamese,Russia,true
108,Eustace,McCleary,emccleary2z@nih.gov,Male,52,100,99,Services,Moldovan,Russia,false
109,Horacio,Rojahn,hrojahn30@symantec.com,Male,75,50,76,Research and Development,Lithuanian,United States,false
110,Godart,Torrese,gtorrese31@nature.com,Male,57,89,87,Product Management,Luxembourgish,Russia,false
111,Thacher,Wren,twren32@cnbc.com,Male,58,68,52,Support,Lao,Russia,true
112,Cindy,Doel,cdoel33@arstechnica.com,Female,71,62,61,Support,Portuguese,United States,true
113,Tybalt,Crippill,tcrippill34@wikispaces.com,Male,97,69,80,Research and Development,Gujarati,United States,false
114,Eveleen,Longwood,elongwood35@wisc.edu,Female,71,66,60,Accounting,Swati,Russia,false
115,Beatrisa,Beckett,bbeckett36@com.com,Genderfluid,79,98,86,Sales,Kyrgyz,United States,false
116,Woodrow,Calladine,wcalladine37@thetimes.co.uk,Male,55,54,62,Sales,Greek,United States,false
117,Evyn,Aizikov,eaizikov38@cnn.com,Male,87,70,74,Product Management,Irish Gaelic,Kazakhstan,false
118,Lorenzo,Philipsohn,lphilipsohn39@godaddy.com,Male,58,59,67,Business Development,Bislama,United States,true
119,Coraline,Richardot,crichardot3a@privacy.gov.au,Female,99,63,91,Support,Arabic,Russia,true
120,Rosabel,Walding,rwalding3b@hatena.ne.jp,Female,86,85,92,Accounting,Nepali,United States,false
121,Judie,Fatharly,jfatharly3c@webeden.co.uk,Female,53,88,99,Sales,Papiamento,Russia,true
122,Ashby,Woofendell,awoofendell3d@youtube.com,Male,65,70,67,Sales,Persian,Russia,true
123,Pepita,Knolles-Green,pknollesgreen3e@comsenz.com,Female,80,71,79,Legal,Croatian,Russia,false
124,Gino,Bess,gbess3f@addtoany.com,Male,93,97,58,Sales,Irish Gaelic,Russia,true
125,Melisse,Ierland,mierland3g@cnn.com,Female,50,77,94,Human Resources,Portuguese,Russia,false
126,Bab,Blackshaw,bblackshaw3h@bluehost.com,Female,74,97,76,Engineering,Indonesian,Russia,false
127,Mechelle,Mobley,mmobley3i@oracle.com,Female,71,74,66,Human Resources,Montenegrin,Russia,false
128,Temple,Ledgley,tledgley3j@godaddy.com,Male,84,53,75,Product Management,Danish,Russia,false
129,Markus,Antosik,mantosik3k@taobao.com,Male,84,98,68,Product Management,Yiddish,Russia,false
130,Jorry,Joynes,jjoynes3l@statcounter.com,Female,55,61,100,Accounting,Maltese,Russia,true
131,Suzanna,Purveys,spurveys3m@soup.io,Female,55,76,56,Support,Marathi,Kazakhstan,true
132,Christiano,Gilbee,cgilbee3n@t-online.de,Male,51,82,61,Marketing,Aymara,Russia,false
133,Jean,Anfosso,janfosso3o@cdc.gov,Female,95,81,61,Services,Yiddish,Russia,true
134,Willabella,Kunert,wkunert3p@mozilla.org,Female,66,69,97,Training,Belarusian,Russia,true
135,Hazel,Ollin,hollin3q@nationalgeographic.com,Male,86,63,56,Product Management,Dzongkha,Russia,false
136,Joella,Prowting,jprowting3r@fda.gov,Female,59,71,81,Research and Development,Dzongkha,Russia,true
137,Jelene,Bauman,jbauman3s@narod.ru,Female,71,92,70,Legal,Khmer,United States,true
138,Barbabas,Narbett,bnarbett3t@sourceforge.net,Male,72,69,91,Marketing,Somali,Russia,false
139,Thorsten,Hargate,thargate3u@arizona.edu,Male,91,54,61,Training,Spanish,United States,true
140,Ardelis,Qualtro,aqualtro3v@google.com.hk,Female,72,80,97,Human Resources,Northern Sotho,Russia,true
141,Leopold,Pilgrim,lpilgrim3w@answers.com,Male,87,58,97,Marketing,English,Russia,true
142,Budd,Stanier,bstanier3x@jimdo.com,Male,67,72,75,Legal,Norwegian,Russia,false
143,Berky,Pitt,bpitt3y@patch.com,Male,60,73,59,Engineering,Haitian Creole,United States,false
144,Venita,Hovenden,vhovenden3z@g.co,Female,53,90,75,Support,Armenian,Russia,false
145,Orin,Duro,oduro40@examiner.com,Male,79,57,61,Product Management,Afrikaans,Russia,true
146,Ruddy,Doswell,rdoswell41@studiopress.com,Male,76,96,56,Marketing,Kashmiri,United States,false
147,Anne,Vanyushkin,avanyushkin42@feedburner.com,Female,87,67,56,Legal,Polish,Russia,true
148,Kippar,Tregea,ktregea43@gov.uk,Male,85,66,97,Training,Bosnian,United States,true
149,Lenore,Ashurst,lashurst44@sciencedirect.com,Female,70,61,70,Business Development,Hungarian,Russia,false
150,Cart,Manach,cmanach45@foxnews.com,Genderfluid,100,53,91,Engineering,Belarusian,Kazakhstan,true
151,Anatola,Fairall,afairall46@mac.com,Female,96,72,75,Accounting,Romanian,United States,false
152,Jemima,Satch,jsatch47@deliciousdays.com,Female,100,88,56,Business Development,Khmer,Russia,false
153,Archie,Everitt,aeveritt48@smh.com.au,Male,66,71,63,Product Management,Malagasy,Russia,true
154,Maxi,Isitt,misitt49@businesswire.com,Female,91,70,60,Support,Korean,Russia,true
155,Nelli,Bapty,nbapty4a@independent.co.uk,Female,55,92,62,Human Resources,Filipino,Russia,true
156,Percival,Karpenya,pkarpenya4b@netscape.com,Male,59,56,57,Human Resources,Papiamento,United States,true
157,Jenica,Kellitt,jkellitt4c@virginia.edu,Female,50,96,71,Services,Swedish,United States,true
158,Tabbi,McGooch,tmcgooch4d@usnews.com,Female,97,63,53,Marketing,French,Russia,true
159,Rodie,Wixey,rwixey4e@ifeng.com,Female,85,75,50,Support,Thai,United States,false
160,Nikita,Dewdney,ndewdney4f@nps.gov,Male,96,86,100,Engineering,Gagauz,United States,true
161,Bowie,Higbin,bhigbin4g@wikispaces.com,Male,79,64,100,Training,Ndebele,Russia,true
162,Chick,Christescu,cchristescu4h@issuu.com,Male,83,52,95,Sales,Hindi,Russia,true
163,Kirsteni,Kleiner,kkleiner4i@canalblog.com,Non-binary,75,98,84,Human Resources,Kyrgyz,United States,true
164,Alejoa,Strewthers,astrewthers4j@dmoz.org,Male,94,87,51,Legal,Persian,United States,true
165,Devina,Antcliff,dantcliff4k@livejournal.com,Female,67,72,68,Research and Development,Bulgarian,Kazakhstan,false
166,Manda,Hengoed,mhengoed4l@sun.com,Genderfluid,57,51,65,Sales,Afrikaans,Russia,false
167,Larry,Maccaddie,lmaccaddie4m@hc360.com,Male,50,93,51,Human Resources,Hindi,Russia,true
168,Jacintha,Ashurst,jashurst4n@netlog.com,Female,53,57,76,Training,Māori,Russia,true
169,Cody,Stelfox,cstelfox4o@goo.ne.jp,Female,93,59,75,Research and Development,Italian,Russia,false
170,Artair,Peres,aperes4p@cisco.com,Bigender,77,60,81,Services,Dari,United States,true
171,Rowen,Overbury,roverbury4q@jalbum.net,Male,83,92,87,Services,Indonesian,Russia,false
172,Rey,Cregin,rcregin4r@yelp.com,Agender,93,74,81,Engineering,Pashto,Russia,true
173,Amalita,Heare,aheare4s@shinystat.com,Female,66,98,87,Support,Georgian,United States,true
174,Rafaela,Dashkovich,rdashkovich4t@un.org,Female,75,65,61,Human Resources,Guaraní,Kazakhstan,false
175,Robby,Hutable,rhutable4u@marketwatch.com,Male,89,69,88,Product Management,Ndebele,United States,true
176,Cherilynn,Bertie,cbertie4v@soundcloud.com,Female,92,99,80,Business Development,Oriya,United States,true
177,Rodolfo,Pengilly,rpengilly4w@github.com,Male,80,70,96,Research and Development,Dari,United States,true
178,Morgen,Ferries,mferries4x@surveymonkey.com,Male,72,71,85,Research and Development,Somali,Russia,true
179,Ancell,Esparza,aesparza4y@blog.com,Male,58,50,88,Sales,Maltese,United States,false
180,Berty,Enrico,benrico4z@fda.gov,Male,99,63,100,Business Development,Telugu,United States,false
181,Hank,Toope,htoope50@mysql.com,Male,83,96,89,Business Development,Punjabi,United States,false
182,Samson,Jardine,sjardine51@cdbaby.com,Male,78,51,87,Product Management,Khmer,United States,false
183,Richmond,Dongate,rdongate52@fastcompany.com,Male,85,72,77,Marketing,Croatian,Russia,false
184,Carling,Spires,cspires53@seattletimes.com,Male,68,65,82,Sales,Ndebele,Russia,false
185,Jerrie,Folliss,jfolliss54@apache.org,Male,62,91,87,Research and Development,Ndebele,Russia,false
186,Jeddy,Leeke,jleeke55@usa.gov,Male,86,98,88,Services,Telugu,United States,true
187,Raine,Boerderman,rboerderman56@google.com,Female,66,89,96,Human Resources,Ndebele,Russia,true
188,Ave,Medcalfe,amedcalfe57@bloomberg.com,Male,93,54,87,Engineering,Tamil,Russia,false
189,Alberto,Carlozzi,acarlozzi58@hatena.ne.jp,Male,82,69,97,Legal,Zulu,Russia,true
190,Gale,Effemy,geffemy59@examiner.com,Female,79,69,52,Training,Spanish,Russia,false
191,Thorny,Edie,tedie5a@patch.com,Male,100,95,82,Services,Sotho,United States,false
192,Justina,Farrants,jfarrants5b@amazonaws.com,Genderqueer,72,89,78,Accounting,Fijian,Russia,false
193,Waldemar,Hindmore,whindmore5c@discovery.com,Male,80,67,97,Training,Latvian,Russia,true
194,Glynn,Paddie,gpaddie5d@toplist.cz,Male,83,68,86,Human Resources,Italian,Russia,false
195,Burg,Uccelli,buccelli5e@phoca.cz,Male,85,83,63,Human Resources,Kazakh,United States,false
196,Arvie,Lingner,alingner5f@hc360.com,Male,87,70,95,Training,Burmese,Russia,false
197,Anatollo,Geator,ageator5g@yahoo.co.jp,Male,76,94,92,Business Development,Montenegrin,Kazakhstan,false
198,Candida,Peoples,cpeoples5h@mashable.com,Female,55,50,70,Accounting,Albanian,United States,false
199,Josh,Gislebert,jgislebert5i@scribd.com,Male,67,99,59,Product Management,New Zealand Sign Language,Russia,true
200,Bentley,Ould,bould5j@netvibes.com,Male,75,57,82,Services,West Frisian,United States,true
201,Bartie,O'Dare,bodare5k@usa.gov,Polygender,82,89,77,Engineering,Mongolian,Russia,false
202,Ervin,Annis,eannis5l@ucsd.edu,Male,59,59,71,Marketing,Portuguese,United States,true
203,Jimmy,Sidwell,jsidwell5m@mapquest.com,Male,67,50,55,Human Resources,Kyrgyz,Russia,false
204,Odelia,Palphreyman,opalphreyman5n@ucla.edu,Female,87,69,53,Research and Development,English,Russia,false
205,Yasmin,Brookes,ybrookes5o@icio.us,Female,88,95,77,Services,Yiddish,Russia,true
206,Kitti,Aronov,karonov5p@cbc.ca,Female,64,93,61,Human Resources,Tajik,Russia,false
207,Roarke,Dahlgren,rdahlgren5q@hc360.com,Male,97,81,56,Business Development,Burmese,Russia,false
208,Price,Emms,pemms5r@goodreads.com,Male,94,76,52,Marketing,Norwegian,United States,true
209,Tuesday,O'Shiel,toshiel5s@marketwatch.com,Female,62,68,96,Legal,West Frisian,Russia,false
210,Herbert,Liverock,hliverock5t@jimdo.com,Male,64,71,83,Sales,Spanish,United States,false
211,Stanford,Teape,steape5u@uol.com.br,Male,96,71,56,Marketing,English,Kazakhstan,true
212,Daron,Crews,dcrews5v@1und1.de,Male,78,57,86,Support,Kazakh,United States,false
213,Vevay,Chaters,vchaters5w@patch.com,Female,85,59,79,Support,Armenian,United States,true
214,Gena,Cisland,gcisland5x@toplist.cz,Female,92,54,74,Services,Telugu,United States,true
215,Cami,Barfitt,cbarfitt5y@springer.com,Female,74,90,58,Services,Gujarati,Russia,true
216,Jodie,Noller,jnoller5z@ft.com,Male,69,66,58,Services,Spanish,Russia,false
217,Tiebold,Rozzell,trozzell60@pagesperso-orange.fr,Male,65,62,50,Sales,Kazakh,Russia,true
218,Felic,Ilieve,filieve61@slate.com,Male,51,100,95,Research and Development,Persian,Russia,true
219,Donny,Gould,dgould62@zimbio.com,Non-binary,53,61,58,Legal,Macedonian,Russia,true
220,Cully,Pimblott,cpimblott63@archive.org,Male,61,62,89,Marketing,Dhivehi,Kazakhstan,true
221,Cherry,Zanioletti,czanioletti64@wordpress.com,Female,88,61,74,Marketing,German,United States,true
222,Ashleigh,Guilliland,aguilliland65@wufoo.com,Female,70,97,99,Marketing,Burmese,United States,true
223,Ken,Bezley,kbezley66@nih.gov,Male,56,62,69,Services,Indonesian,United States,false
224,Rodolfo,Tutin,rtutin67@youtube.com,Male,72,82,69,Accounting,Malay,Kazakhstan,true
225,Elita,Boud,eboud68@myspace.com,Female,58,58,78,Sales,Italian,Russia,true
226,Wilow,Legging,wlegging69@hostgator.com,Female,53,78,73,Support,Czech,Russia,true
227,Dacey,Aizikovitch,daizikovitch6a@house.gov,Female,64,58,87,Human Resources,Chinese,Russia,true
228,Gladys,Bratt,gbratt6b@huffingtonpost.com,Female,80,63,57,Marketing,Armenian,United States,false
229,Arley,Whiteway,awhiteway6c@miitbeian.gov.cn,Male,72,73,94,Marketing,Sotho,Russia,true
230,Wolfie,Broyd,wbroyd6d@t.co,Male,93,71,91,Engineering,Pashto,Russia,true
231,Fields,Goldstone,fgoldstone6e@live.com,Male,64,87,86,Support,Danish,Russia,false
232,Sandy,Trounce,strounce6f@apple.com,Female,61,85,63,Sales,Ndebele,Russia,false
233,Berke,Darco,bdarco6g@businesswire.com,Male,50,70,56,Business Development,Finnish,Russia,false
234,Garrett,Crufts,gcrufts6h@vinaora.com,Male,59,80,96,Sales,German,Russia,false
235,Juanita,Helliwell,jhelliwell6i@mit.edu,Female,58,69,52,Business Development,Armenian,Russia,true
236,Trueman,Dryden,tdryden6j@prnewswire.com,Male,80,88,50,Support,Gagauz,Russia,true
237,Tymon,Pomeroy,tpomeroy6k@360.cn,Male,81,65,65,Services,Dhivehi,Kazakhstan,true
238,Angel,Johansen,ajohansen6l@irs.gov,Male,84,83,58,Research and Development,Armenian,United States,true
239,Ilyse,MacClure,imacclure6m@vinaora.com,Agender,63,67,84,Services,Telugu,Russia,false
240,Tobe,Charlot,tcharlot6n@mozilla.org,Male,50,56,54,Accounting,West Frisian,Kazakhstan,true
241,Germayne,Olivera,golivera6o@biglobe.ne.jp,Male,78,86,52,Accounting,Kannada,United States,false
242,Athena,Morcombe,amorcombe6p@arstechnica.com,Female,77,69,84,Marketing,Fijian,Russia,true
243,Taddeusz,MacNeil,tmacneil6q@bandcamp.com,Male,85,91,84,Product Management,Nepali,Russia,false
244,Leonard,Doogood,ldoogood6r@sbwire.com,Male,51,86,91,Support,Persian,Russia,true
245,Cordell,Jovic,cjovic6s@ustream.tv,Male,64,77,93,Product Management,Sotho,United States,true
246,Carly,Benbrick,cbenbrick6t@bloglovin.com,Female,98,96,63,Product Management,Gagauz,Russia,true
247,Earle,Stoodley,estoodley6u@indiegogo.com,Male,63,96,66,Support,Moldovan,United States,true
248,Melly,Degnen,mdegnen6v@whitehouse.gov,Female,77,79,65,Legal,Guaraní,United States,false
249,Spencer,Bartholomew,sbartholomew6w@livejournal.com,Male,80,85,100,Research and Development,Spanish,Russia,false
250,Ianthe,Ellph,iellph6x@phpbb.com,Female,57,76,57,Business Development,Croatian,Russia,false
251,Brittne,Osmant,bosmant6y@sohu.com,Female,85,85,85,Product Management,Sotho,Russia,false
252,Wendell,McCanny,wmccanny6z@eventbrite.com,Male,76,69,53,Services,Fijian,Russia,false
253,Victoria,Wannell,vwannell70@slashdot.org,Female,65,90,93,Services,Greek,Russia,true
254,Sharla,Vogl,svogl71@mashable.com,Female,51,95,79,Marketing,Yiddish,United States,true
255,Antone,Stegel,astegel72@skype.com,Male,87,92,80,Product Management,German,Russia,true
256,Tatum,Nardi,tnardi73@g.co,Female,60,75,81,Product Management,Dutch,United States,false
257,Karoline,Sleet,ksleet74@csmonitor.com,Female,89,55,84,Engineering,Māori,United States,false
258,Ximenes,Hachard,xhachard75@opensource.org,Male,90,60,98,Legal,Hungarian,Russia,false
259,Cecilio,Woodall,cwoodall76@nymag.com,Male,97,84,75,Human Resources,Hindi,Russia,false
260,Ira,Girt,igirt77@amazonaws.com,Male,67,67,81,Product Management,Mongolian,Russia,false
261,Fanny,Abrahamsen,fabrahamsen78@a8.net,Female,76,78,71,Training,Māori,United States,false
262,Andris,Mouncey,amouncey79@cbsnews.com,Male,69,60,68,Research and Development,Arabic,Russia,true
263,Kerwinn,Petrishchev,kpetrishchev7a@fda.gov,Male,56,65,93,Marketing,Georgian,Russia,true
264,Shay,Sharphurst,ssharphurst7b@opera.com,Male,57,91,75,Services,Montenegrin,United States,false
265,Dione,Medendorp,dmedendorp7c@nytimes.com,Female,81,90,87,Training,Albanian,Russia,false
266,Tedmund,Botly,tbotly7d@berkeley.edu,Male,93,68,59,Business Development,Somali,Russia,false
267,Corabel,Jordine,cjordine7e@pcworld.com,Female,68,61,83,Business Development,Dzongkha,United States,false
268,Gertruda,Boyer,gboyer7f@technorati.com,Female,50,50,85,Product Management,Burmese,Russia,true
269,Harriett,Ollis,hollis7g@archive.org,Female,92,99,57,Marketing,Danish,Russia,false
270,Gasparo,Fitzmaurice,gfitzmaurice7h@deviantart.com,Male,59,98,77,Marketing,Tswana,Kazakhstan,true
271,Constantin,Liddel,cliddel7i@stanford.edu,Male,62,90,71,Human Resources,Northern Sotho,Kazakhstan,true
